strain	virus	isolate_id	date	region	country	division	host
A/Guineafowl/WA/24-030328-001-original/2024	avian_flu	A/Guineafowl/WA/24-030328-001-original/2024	2024-10-15	North America	USA	Washington	Numididae sp.
A/Guineafowl/WA/24-030328-002-original/2024	avian_flu	A/Guineafowl/WA/24-030328-002-original/2024	2024-10-15	North America	USA	Washington	Numididae sp.
A/chicken/OR/24-030904-001-original/2024	avian_flu	A/chicken/OR/24-030904-001-original/2024	2024-10-21	North America	USA	Oregon	Gallus gallus
A/chicken/OR/24-030904-002-original/2024	avian_flu	A/chicken/OR/24-030904-002-original/2024	2024-10-21	North America	USA	Oregon	Gallus gallus
A/Washington/239/2024	avian_flu	A/Washington/239/2024	2024-10-18	North America	USA	Washington	Homo sapiens
A/Washington/240/2024	avian_flu	A/Washington/240/2024	2024-10-18	North America	USA	Washington	Homo sapiens
A/Washington/251/2024	avian_flu	A/Washington/251/2024	2024-10-24	North America	USA	Oregon	Homo sapiens
A/Washington/252/2024	avian_flu	A/Washington/252/2024	2024-10-24	North America	USA	Oregon	Homo sapiens
A/Washington/253/2024	avian_flu	A/Washington/253/2024	2024-10-24	North America	USA	Oregon	Homo sapiens
A/Washington/254/2024	avian_flu	A/Washington/254/2024	2024-10-23	North America	USA	Washington	Homo sapiens
A/Washington/255/2024	avian_flu	A/Washington/255/2024	2024-10-29	North America	USA	Washington	Homo sapiens
A/Washington/UW32495/2024	avian_flu	A/Washington/UW32495/2024	2024-10-18	North America	USA	Washington	Homo sapiens
A/chicken/Washington/W242850087-1/2024	avian_flu	A/chicken/Washington/W242850087-1/2024	2024-10-11	North America	USA	Washington	Gallus gallus
A/chicken/Washington/W242850087-2/2024	avian_flu	A/chicken/Washington/W242850087-2/2024	2024-10-11	North America	USA	Washington	Gallus gallus
A/chicken/WA/24-030039-001/2024	avian_flu	A/chicken/WA/24-030039-001/2024	2024-10-11	North America	USA	Washington	Gallus gallus
A/chicken/WA/24-030039-002/2024	avian_flu	A/chicken/WA/24-030039-002/2024	2024-10-11	North America	USA	Washington	Gallus gallus
A/chicken/OR/24-035148-001-original/2024	avian_flu	A/chicken/OR/24-035148-001-original/2024	2024-11-18	North America	USA	Oregon	Gallus gallus
A/chicken/OR/24-035148-002-original/2024	avian_flu	A/chicken/OR/24-035148-002-original/2024	2024-11-18	North America	USA	Oregon	Gallus gallus
A/chicken/OR/24-037945-001-original/2024	avian_flu	A/chicken/OR/24-037945-001-original/2024	2024-12-10	North America	USA	Oregon	Gallus gallus
A/chicken/OR/24-037945-002-original/2024	avian_flu	A/chicken/OR/24-037945-002-original/2024	2024-12-10	North America	USA	Oregon	Gallus gallus
A/chicken/WA/24-031352-001-original/2024	avian_flu	A/chicken/WA/24-031352-001-original/2024	2024-10-21	North America	USA	Washington	Gallus gallus
A/chicken/WA/24-031352-002-original/2024	avian_flu	A/chicken/WA/24-031352-002-original/2024	2024-10-21	North America	USA	Washington	Gallus gallus
A/chicken/WA/24-031352-003-original/2024	avian_flu	A/chicken/WA/24-031352-003-original/2024	2024-10-21	North America	USA	Washington	Gallus gallus
A/Duck/OR/24-037944-001-original/2024	avian_flu	A/Duck/OR/24-037944-001-original/2024	2024-11-26	North America	USA	Oregon	Anatidae
A/chicken/WA/24-034062-001-original/2024	avian_flu	A/chicken/WA/24-034062-001-original/2024	2024-11-13	North America	USA	Washington	Gallus gallus
A/goose/WA/24-033829-001-original/2024	avian_flu	A/goose/WA/24-033829-001-original/2024	2024-11-12	North America	USA	Washington	Anatidae
A/Duck/OR/24-031478-003-original/2024	avian_flu	A/Duck/OR/24-031478-003-original/2024	2024-10-22	North America	USA	Oregon	Anatidae
A/Peafowl/OR/24-031478-001-original/2024	avian_flu	A/Peafowl/OR/24-031478-001-original/2024	2024-10-22	North America	USA	Oregon	Pavo
A/pig/OR/24-031264-004-combined/2024	avian_flu	A/pig/OR/24-031264-004-combined/2024	2024-10-22	North America	USA	Oregon	Sus scrofa
A/goose/OR/24-031478-002-original/2024	avian_flu	A/goose/OR/24-031478-002-original/2024	2024-10-22	North America	USA	Oregon	Anatidae
A/junglecrow/Iwate/0304I001/2022	avian_flu	A/junglecrow/Iwate/0304I001/2022	2022-04-06	Asia	Japan	Iwate	Corvus macrorhynchos
